arm,arm_label,seed,learning_rule,receiver_observation,hidden_cost,residual_causal_cost,active_monitor_cost,message_cost,welfare,shuffled_welfare,message_value,join_rate,success_rate,visible_norm,hidden_norm,hidden_norm_share,hidden_causal_influence,hidden_shuffle_causal_influence,hidden_action_flip_rate,hidden_probe_gain,causal_strategic_opacity_gap,probe_strategic_opacity_gap,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability,full_content_balanced_accuracy,auditor_content_balanced_accuracy,visible_content_balanced_accuracy,hidden_content_balanced_accuracy
visible_bottleneck,Public Only,0,ppo,visible,0.04,0.0,0.0,0.002,0.5381510257720947,0.27256301045417786,0.26558801531791687,0.6196799874305725,0.5730000138282776,2.917018413543701,0.3204200565814972,0.09897332707271682,5.676296321865948e-09,1.7372927985093156e-08,0.0,0.05312511943458964,1.5075562744807686e-09,0.014109395034159956,,,,0.9814448819896461,0.9283197625550564,0.9282740568957469,0.8696280600254852
visible_bottleneck,Public Only,1,ppo,visible,0.04,0.0,0.0,0.002,0.5330629348754883,0.2826089859008789,0.2504539489746094,0.6224600076675415,0.5713000297546387,2.955233097076416,0.31149861216545105,0.09535481940074678,7.02365765548052e-09,1.8163868631404512e-08,0.0,0.01934628310846387,1.7591027960608426e-09,0.004845353002495557,,,,0.9581957303785433,0.9388494472700795,0.9394832792565758,0.9495031332429011
visible_bottleneck,Public Only,2,ppo,visible,0.04,0.0,0.0,0.002,0.5455849766731262,0.2833539843559265,0.2622309923171997,0.6396799683570862,0.5859000086784363,3.035151481628418,0.35556620359420776,0.10486458520089449,5.5807816146113964e-09,1.5597397151623227e-08,0.0,0.0009454645861574074,1.4634539007051305e-09,0.00024793011662882747,,,,0.979683009646617,0.9787375450604596,0.9780348452749902,0.9118148177546769
visible_bottleneck,Public Only,3,ppo,visible,0.04,0.0,0.0,0.002,0.5315089821815491,0.2672260105609894,0.2642829716205597,0.6224600076675415,0.5705999732017517,2.894697666168213,0.3296372890472412,0.10223419515210212,5.4225872681001874e-09,1.6649940093316218e-08,0.0,0.01579248023189539,1.4330974770853301e-09,0.004173683604944259,,,,0.9728426330685963,0.9570501528367009,0.9572921698239852,0.9612787182323258
asymmetric_free,Private Allowed,0,ppo,full,0.0,0.0,0.0,0.002,0.5300909876823425,0.2706749737262726,0.25941601395606995,0.624239981174469,0.5706999897956848,0.8108384013175964,2.63736629486084,0.7648520106082364,0.09785778820514679,0.25668102502822876,0.2563000023365021,0.0019761038093988326,0.025385877350736497,0.0005126329733976505,,,,0.9841378702015254,0.9821617663921266,0.9845161565676267,0.984749166461254
asymmetric_free,Private Allowed,1,ppo,full,0.0,0.0,0.0,0.002,0.5433669686317444,0.28056800365448,0.2627989649772644,0.6229999661445618,0.5776000022888184,1.724291205406189,2.389728307723999,0.5808743249994343,0.043550044298172,0.12187498062849045,0.12167999893426895,0.044889562964167906,0.011444906566273616,0.011796930685265068,,,,0.9770303845736134,0.9321408216094454,0.9340806013249109,0.9740250657330596
asymmetric_free,Private Allowed,2,ppo,full,0.0,0.0,0.0,0.002,0.5331819653511047,0.25561898946762085,0.2775629758834839,0.6174600124359131,0.569100022315979,0.9101251363754272,2.837970018386841,0.757176619377169,0.12293282896280289,0.2925833761692047,0.2929999828338623,0.07527165565657923,0.03412160184069091,0.020892624743717003,,,,0.9927043461407856,0.9174326904842064,0.9146843112169688,0.9910804989134565
asymmetric_free,Private Allowed,3,ppo,full,0.0,0.0,0.0,0.002,0.5351529717445374,0.26121801137924194,0.2739349603652954,0.6262800097465515,0.5738999843597412,1.4059727191925049,2.5231339931488037,0.642164791611195,0.058426424860954285,0.20926523208618164,0.20943999290466309,0.042857542630059475,0.016005040378571422,0.0117401792417193,,,,0.9859432359653194,0.9430856933352599,0.941804918878947,0.984322818119935
public_monitored,Public Monitored,0,ppo,visible,0.04,0.0,0.12,0.002,0.5361799597740173,0.27194300293922424,0.2642369568347931,0.62882000207901,0.5759999752044678,2.8638689517974854,0.2973294258117676,0.0940559212979957,6.183263234760261e-09,1.6371830113826036e-08,0.0,0.10467631141321265,1.6338466604615102e-09,0.02765934998051843,0.7639399766921997,0.6264648629686282,0.6933818459510803,0.9452060180041961,0.8405297065909835,0.8397132607774496,0.9125744636231315
public_monitored,Public Monitored,1,ppo,visible,0.04,0.0,0.12,0.002,0.5398110151290894,0.2845989763736725,0.25521203875541687,0.6349200010299683,0.5805000066757202,2.884366750717163,0.3022725284099579,0.09485621117830315,5.677137426829404e-09,1.6831236848702247e-08,0.0,0.07266940799950661,1.4488738169958134e-09,0.01854610777070328,0.7989599704742432,0.6674149857856655,0.7261571288108826,0.9428838717006475,0.8702144637011409,0.8651667781880286,0.9150765793628263
public_monitored,Public Monitored,2,ppo,visible,0.04,0.0,0.12,0.002,0.5323039889335632,0.28003600239753723,0.252267986536026,0.6525200009346008,0.583899974822998,2.940195322036743,0.37201741337776184,0.11231688393686644,6.938862373573329e-09,1.6224133148057263e-08,0.0,0.19834451350557003,1.750452839831934e-09,0.05003597106251777,0.7444400191307068,0.6149414095258304,0.6676837205886841,0.9781700134825568,0.7798254999769868,0.7771640426289381,0.9661429007663052
public_monitored,Public Monitored,3,ppo,visible,0.04,0.0,0.12,0.002,0.5380600094795227,0.27413299679756165,0.26392701268196106,0.6380000114440918,0.5807999968528748,2.8751065731048584,0.27808937430381775,0.08819286176374609,6.259927687324307e-09,1.4953940308259916e-08,0.0,0.05299392234620537,1.6521640141206016e-09,0.013986527615133804,0.771340012550354,0.6364334595844514,0.7015171647071838,0.9274513372520792,0.8744574149058738,0.8668924689639604,0.9159663033643531
private_monitored,Private Monitored,0,ppo,full,0.0,0.0,0.12,0.002,0.5332580208778381,0.2601509988307953,0.27310702204704285,0.6249200105667114,0.5724999904632568,0.5251430869102478,2.679929256439209,0.8361525012064321,0.12097083032131195,0.2951478958129883,0.29527997970581055,0.017688010069669247,0.03303798322361162,0.004830719756065475,0.5208799839019775,0.3333333333333333,0.4031373858451843,0.9891485194347315,0.9714605093650622,0.9732717726038368,0.9867153808394814
private_monitored,Private Monitored,1,ppo,full,0.0,0.0,0.12,0.002,0.5232970118522644,0.26302799582481384,0.26026901602745056,0.619879961013794,0.5648000240325928,0.6281157732009888,2.6842408180236816,0.8103719343306703,0.1655462384223938,0.2952611744403839,0.2954999804496765,0.10257137574460617,0.043086556581242164,0.02669615103763056,0.5274400115013123,0.3333333333333333,0.4358784258365631,0.9803425724201243,0.8777711966755182,0.8791969000741676,0.9788473595095614
private_monitored,Private Monitored,2,ppo,full,0.0,0.0,0.12,0.002,0.5338720083236694,0.27090197801589966,0.2629700303077698,0.6241399645805359,0.5724999904632568,0.6951707005500793,2.6873137950897217,0.7944792647398117,0.13434700667858124,0.29843682050704956,0.2979399859905243,0.4368142827162639,0.035329236418024657,0.11486906516476263,0.5229799747467041,0.3333333333333333,0.4133925139904022,0.9931254077107003,0.5563111249944365,0.5550210993455565,0.9932502049152431
private_monitored,Private Monitored,3,ppo,full,0.0,0.0,0.12,0.002,0.5335220098495483,0.2624489665031433,0.27107304334640503,0.6259799599647522,0.5728999972343445,0.5214618444442749,2.734062433242798,0.8398224679145216,0.13110555708408356,0.3064267635345459,0.30682000517845154,0.021188769634850724,0.03553918235840836,0.005743704269684881,0.5251200199127197,0.3333333333333333,0.39213094115257263,0.9763978846392453,0.9552091150043945,0.9526377477325713,0.97895691137359
monitored_penalty,Monitored + Penalty,0,ppo,full,0.0,0.6,0.12,0.002,0.5311779975891113,0.26383697986602783,0.2673410177230835,0.6438599824905396,0.579200029373169,1.9001981019973755,1.7219784259796143,0.47539881413271456,0.014669429510831833,0.04975317791104317,0.04999999701976776,0.22260258056935722,0.003921740214842817,0.05951080043719665,0.6006799936294556,0.49386335632544326,0.5411837697029114,0.9938116500326863,0.7712090694633291,0.7688722889640963,0.9961955698655492
monitored_penalty,Monitored + Penalty,1,ppo,full,0.0,0.6,0.12,0.002,0.5241439938545227,0.2498829960823059,0.2742609977722168,0.6257799863815308,0.567300021648407,1.9600268602371216,1.8258991241455078,0.48228600656155113,0.012270621955394745,0.04598134756088257,0.045979999005794525,0.22637602071866758,0.0033653530207722326,0.06208611331400579,0.647379994392395,0.5273620951490323,0.5733510255813599,0.9830494223904388,0.7566734016717712,0.7644562809288872,0.9734891891661155
