design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,theta_star_target
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,22,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,14,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,23,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,4,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,27,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,24,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,3,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,28,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,12,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,29,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,26,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.25000000000000006,0.25,5.551115123125783e-17,1,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.24999999999999994,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.25000000000000006,0.25,5.551115123125783e-17,0,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.24999999999999994,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
