country,period,treatment,theta,theta_star,z,benefit,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack
0,0,communication,-1.5690379156212926,0.5430661838642469,0.02481260212133443,1.1885007515024986,10,0.4,25,0,0,0.4,0.0,0.0,True,0.9999999999995614
0,1,communication,0.27413995296177207,0.5052839828099566,-0.04417378248669119,1.0213616807475503,0,0.0,25,0,0,0.0,0.0,0.0,False,0.7833993922170609
0,2,communication,-0.6921698666414775,0.4802610662052737,-0.14928959424293253,0.9240428895691607,8,0.32,25,0,0,0.32,0.0,0.0,True,0.9999429819015426
0,3,communication,-0.05931788553484087,0.5274901519415617,-0.12699129873537982,1.116358006312545,1,0.04,25,0,0,0.04,0.0,0.0,True,0.978565753446258
0,4,communication,0.7879336174018815,0.5189048065643461,-0.0672271240003965,1.078590710621492,0,0.0,25,0,0,0.0,0.0,0.0,False,0.19784116073966723
0,5,communication,1.690847318114246,0.518472663039974,-0.16111230334916,1.0767252931332845,0,0.0,25,0,0,0.0,0.0,0.0,False,5.63246293204109e-05
0,6,communication,-1.0228733453805763,0.4717785779603876,-0.020547806503192878,0.8931454845937846,16,0.64,25,0,0,0.64,0.0,0.0,True,0.999999547796543
0,7,communication,0.26474965699684816,0.532296304090835,-0.06594115645229179,1.1381058322750879,0,0.0,25,0,0,0.0,0.0,0.0,False,0.8346899517273453
0,8,communication,1.4514390127670076,0.5694789192634964,-0.1431316388582483,1.3227666303570405,0,0.0,25,0,0,0.0,0.0,0.0,False,0.002847716904980911
0,9,communication,-0.15891057641466977,0.5351152497134072,-0.09646564183913495,1.151070774817885,1,0.04,25,0,0,0.04,0.0,0.0,True,0.991837206302061
0,10,communication,-2.8514440492388764,0.5461253164100672,-0.18349821835810923,1.203251329398846,17,0.68,25,0,0,0.68,0.0,0.0,True,1.0
0,11,communication,-0.17761207514838723,0.49114571070606267,-0.04347621746506677,0.9651991169958568,2,0.08,25,0,0,0.08,0.0,0.0,True,0.9863428440566435
0,12,communication,0.39635098434182814,0.5292350391399975,-0.11735896535841528,1.124202273196333,0,0.0,25,0,0,0.0,0.0,0.0,False,0.6971754350520499
0,13,communication,-0.8930585297314593,0.5115649787618756,-0.19683508751962092,1.0473552397310075,6,0.24,25,0,0,0.24,0.0,0.0,True,0.9999987679113704
0,14,communication,2.0074252072990673,0.4426170884124928,-0.060059376492507914,0.7940987770002768,0,0.0,25,0,0,0.0,0.0,0.0,False,4.152714786786798e-08
0,15,communication,-0.3746785692418634,0.5139703108388153,-0.08171517401354812,1.0574874792645939,3,0.12,25,0,0,0.12,0.0,0.0,True,0.9986375890130773
0,16,communication,0.2964098962195181,0.5576468667945231,-0.11597662513704396,1.260637316511312,0,0.0,25,0,0,0.0,0.0,0.0,False,0.8451366662568922
0,17,communication,-0.2527282626446281,0.5189441927237252,-0.02169877844535706,1.0787608940051538,3,0.12,25,0,0,0.12,0.0,0.0,True,0.9956002285745799
0,18,communication,1.7694653864749827,0.4440501446076638,-0.08136125277276256,0.7987233746005666,0,0.0,25,0,0,0.0,0.0,0.0,False,2.572836081841882e-06
0,19,communication,-1.4277805074623344,0.5118559781768987,-0.11490104391911787,1.0485757384987295,9,0.36,25,0,0,0.36,0.0,0.0,True,0.9999999999585323
