country,period,join_valid
0,0,0.96
0,1,0.0
0,2,0.84
0,3,0.12
0,4,0.0
0,5,0.0
0,6,0.96
0,7,0.0
0,8,0.0
0,9,0.12
0,10,0.96
0,11,0.36
0,12,0.0
0,13,0.88
0,14,0.0
0,15,0.44
0,16,0.0
0,17,0.64
0,18,0.0
0,19,1.0
1,0,0.04
1,1,0.92
1,2,0.16
1,3,0.8
1,4,0.0
1,5,0.0
1,6,0.92
1,7,0.52
1,8,0.0
1,9,0.04
1,10,0.0
1,11,0.0
1,12,0.8
1,13,0.0
1,14,1.0
1,15,0.52
1,16,0.0
1,17,0.0
1,18,0.12
1,19,0.0
2,0,1.0
2,1,0.72
2,2,0.0
2,3,0.92
2,4,0.08
2,5,0.76
2,6,0.0
2,7,0.84
2,8,0.0
2,9,0.88
2,10,1.0
2,11,0.0
2,12,0.24
2,13,0.0
2,14,0.64
2,15,0.0
2,16,0.8
2,17,0.0
2,18,0.08
2,19,1.0
3,0,0.0
3,1,0.88
3,2,0.0
3,3,0.0
3,4,0.08
3,5,0.04
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.92
3,10,0.08
3,11,0.16
3,12,0.0
3,13,0.88
3,14,0.96
3,15,1.0
3,16,0.0
3,17,0.16
3,18,0.0
3,19,0.0
4,0,0.52
4,1,0.12
4,2,0.0
4,3,0.8
4,4,0.0
4,5,0.88
4,6,0.08
4,7,0.92
4,8,0.0
4,9,0.92
4,10,1.0
4,11,0.88
4,12,0.52
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,1.0
4,18,0.0
4,19,0.0
5,0,0.76
5,1,0.48
5,2,0.0
5,3,0.4
5,4,0.52
5,5,0.48
5,6,0.0
5,7,0.64
5,8,0.84
5,9,0.0
5,10,0.0
5,11,0.04
5,12,0.0
5,13,0.04
5,14,0.0
5,15,0.0
5,16,0.12
5,17,1.0
5,18,0.04
5,19,0.0
6,0,0.96
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.92
6,6,0.36
6,7,0.84
6,8,0.0
6,9,0.08
6,10,0.0
6,11,0.52
6,12,0.08
6,13,0.96
6,14,1.0
6,15,1.0
6,16,0.4
6,17,0.68
6,18,0.0
6,19,1.0
7,0,0.96
7,1,0.88
7,2,0.0
7,3,0.92
7,4,0.2
7,5,0.0
7,6,0.0
7,7,0.96
7,8,0.04
7,9,0.0
7,10,0.96
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.96
7,15,0.0
7,16,0.0
7,17,0.04
7,18,0.84
7,19,0.36
8,0,0.0
8,1,0.36
8,2,0.0
8,3,0.84
8,4,0.92
8,5,0.0
8,6,1.0
8,7,0.0
8,8,0.8
8,9,0.0
8,10,1.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.4
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.84
8,19,1.0
9,0,0.0
9,1,0.92
9,2,0.96
9,3,0.0
9,4,0.96
9,5,0.92
9,6,0.0
9,7,0.0
9,8,0.0
9,9,0.24
9,10,0.28
9,11,0.48
9,12,0.92
9,13,0.88
9,14,0.0
9,15,0.76
9,16,0.16
9,17,0.16
9,18,0.24
9,19,0.76
