design,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,treatment
flip,flip,0.275,0.5,-0.2249999999999999,11,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,12,0.64,0.7272727272727273,16,25,22,3,0,0.12,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,13,0.64,0.7272727272727273,16,25,22,3,0,0.12,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,14,0.76,0.7916666666666666,19,25,24,1,0,0.04,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,15,0.72,0.75,18,25,24,1,0,0.04,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,16,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,17,0.76,0.8260869565217391,19,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,18,0.8,0.8333333333333334,20,25,24,1,0,0.04,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,19,0.84,0.9130434782608696,21,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,20,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,21,0.68,0.8095238095238095,17,25,21,4,0,0.16,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,22,0.76,0.8260869565217391,19,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,23,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,24,0.84,0.9130434782608696,21,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,25,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,26,0.72,0.782608695652174,18,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,27,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,28,0.8,0.8333333333333334,20,25,24,1,0,0.04,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.275,0.5,-0.2249999999999999,29,0.6,0.6521739130434783,15,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,0,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,1,0.8,0.8695652173913043,20,25,23,2,0,0.08,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,2,0.68,0.85,17,25,20,5,0,0.2,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,3,0.76,0.8260869565217391,19,25,23,2,0,0.08,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,4,0.92,0.9583333333333334,23,25,24,1,0,0.04,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,5,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,6,0.72,0.8181818181818182,18,25,22,3,0,0.12,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,7,0.72,0.8571428571428571,18,25,21,4,0,0.16,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,8,0.92,1.0,23,25,23,2,0,0.08,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,9,0.84,0.875,21,25,24,1,0,0.04,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,10,0.84,0.875,21,25,24,1,0,0.04,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,11,0.8,0.8333333333333334,20,25,24,1,0,0.04,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,12,0.84,0.875,21,25,24,1,0,0.04,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,13,0.72,0.782608695652174,18,25,23,2,0,0.08,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,14,0.88,0.9166666666666666,22,25,24,1,0,0.04,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,15,0.64,0.7272727272727273,16,25,22,3,0,0.12,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,16,0.84,0.9130434782608696,21,25,23,2,0,0.08,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,17,0.64,0.8421052631578947,16,25,19,6,0,0.24,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,18,0.84,0.9130434782608696,21,25,23,2,0,0.08,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,19,0.8,0.9090909090909092,20,25,22,3,0,0.12,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,20,0.72,0.8181818181818182,18,25,22,3,0,0.12,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,21,0.76,0.8636363636363636,19,25,22,3,0,0.12,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,22,0.8,0.8333333333333334,20,25,24,1,0,0.04,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,23,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,24,0.64,0.7619047619047619,16,25,21,4,0,0.16,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,25,0.88,0.9166666666666666,22,25,24,1,0,0.04,0.0,True,0.691462461274013,1.0,1.0,allenai/olmo-3-7b-instruct,
